"152,あまのじゃく,B,・そよ風ヒルズ　ひょうたん池博物館（夜）,料理,・"
"153,ネクラマテング,C,・おつかい横丁　あんのん団地　木の上（夜）,野菜,・"
"154,ヨミテング,B,・おつかい横丁　あんのん団地　木の上（昼）,野菜,・"
"155,魔ガサス,A,・おつかい横丁　たそがれ通り　木の上（昼）,野菜,・【妖怪ガシャ】わくわくコイン"
"156,ウ魔,A,・おつかい横丁　こかげ通り　木の上（夜）,野菜,・"
"157,デビビル,A,・妖魔界　街道,ラーメン,・"
"158,デビビラン,S,・さくら中央シティ　学生通り　車のした（昼）,ラーメン,・【合成】妖怪「デビビル」と「邪心のかたまり」"
"159,虫歯男爵,S,・妖怪ガシャ（スペシャルコイン）,ラーメン,・"
"160,ドケチング,S,・ムゲン地獄,肉,・"
"161,ヤミまろ,S,・桜町地下水道　ボス,肉,・桜町地下下水道"
"162,イガイガグリ,E,・さくらニュータウン　木の上,パン,・"
"163,チクチクウニ,D,・桜町地下水道　水の中,パン,・"
"164,ヨコドリ,E,・おおもり山　茂みの中,バーガー,・"
"165,はらおドリ,D,・さくら中央シティ　さくらビジネスガーデンビル,バーガー,・"
"166,トホホギス,E,・おおもり山　木の上,パン,・"
"167,ブカッコウ,C,・おつかい横丁　木の上,パン,・"
"168,死神鳥,A,・団々坂　鳥飼家　隠し部屋,パン,・鳥飼さんのサブクエストを進める"
"169,じんめん犬,E,・団々坂　こっそり空き地　ゴミ置き場・ムゲン地獄,料理,・"
"170,かおベロス,B,・さくらニュータウン　さくら第一小学校　校舎の中（夜）,料理,・【合成】妖怪「じんめん犬」と「じんめん犬」"
"171,三途の犬,A,・妖魔界,料理,・"
"172,じめりんぼう,E,・さくらニュータウン　さびしげな水路,ジュース,・"
"173,雨ふらし,B,・桜町地下水道　水の中,ジュース,・"
"174,こおりんぼう,E,・桜町地下水道,ジュース,・"
"175,化けあられ,B,・桜町地下水道,ジュース,・"
"176,たらりん,D,・桜町地下水道 （そよ風ヒルズ付近）,ジュース,・"
"177,口だけおんな,D,・さくら中央シティ　さくらビジネスガーデンビル,パン,・サブクエストで友達になれる"
"178,おつぼね様,Ｃ,・さくら中央シティ　オフィス街　機械の下（昼）,パン,・"
"179,ドンヨリーヌ,D,・さくら中央シティ　塾への近道　ゴミ置き場,パン,・メインクエスト中に友達になれる"
"180,ならず者,C,・おつかい横丁　商店街の細道,牛乳,・"
"181,へこ鬼神,A,・おつかい横丁　かげむら医院,牛乳,・"
"182,おすべり様,A,・おつかい横丁　かげむら医院,お菓子,・"
"183,おしっしょう,A,・妖魔界,お菓子,・"
"184,しわくちゃん,B,・そよ風ヒルズ　えびす台　茂みの中,牛乳,・"
"185,老いらん,S,・,牛乳,・【合成】妖怪「しわくちゃん」と「生命のおしろい」"
"186,ふじみ御前,S,・,牛乳,・【妖怪ガシャ】スペシャルコインor紫コイン"
"187,フゥミン,S,・ムゲン地獄,お菓子,・"
"188,おねむの精,S,・ムゲン地獄,お菓子,・"
"189,ツチノコ,E,・団々坂　ひみつの抜け道,バーガー,・"
"190,フクリュウ,A,・ムゲン地獄,バーガー,・【合成】妖怪「ツチノコ」と「幸福のしずく」"
"191,ツチノコパンダ,A,・すれちがい通信,バーガー,・すれちがい通信の「さすらい荘」"
"192,笑ウツボ,D,・おおもり山　どんこ池（昼）,肉,・"
"193,歌ウナギ,C,・おおもり山　どんこ池（夜）,肉,・"
"194,大蛇のツボ,C,・団々坂　ひがん山トンネル　川（夜）,肉,・"
"195,キライギョ,D,・さくら中央シティ　西の川,肉,・"
"196,ゾウオ,B,・さくら中央シティ　西の川,肉,・"
"197,ギャクジョウウオ,A,・おつかい横丁　東の川（夜）,肉,・"
"198,りゅーくん,D,・ムゲン地獄　3階・4階,料理,・メインクエスト中に友達になる"
"199,龍神,S,・団々坂　竹やぶの道　竹やぶ(昼),料理,・【合成】「りゅーくん」と「龍神玉」"
"200,青龍,S,・ムゲン地獄 第4階層,料理,・"
